planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-2641 b,TOI-2641,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.166959,0.8330399,8.175881e-09,1.1816882e-06,PC
TOI-2669 b,TOI-2669,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,1.470816e-07,0.0013273505,0.0019312386,0.99674135,IS
TOI-269 b,TOI-269,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042589184,0.9574078,1.4151195e-07,2.788694e-06,PC
TOI-270 b,TOI-270,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24045351,0.7595456,6.417044e-09,8.011061e-07,PC
TOI-270 c,TOI-270,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24045351,0.7595456,6.417044e-09,8.011061e-07,PC
TOI-270 d,TOI-270,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24045351,0.7595456,6.417044e-09,8.011061e-07,PC
TOI-277 b,TOI-277,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.035303246,0.9646958,4.0680304e-09,9.384357e-07,PC
TOI-2818 b,TOI-2818,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,9.167172e-05,0.008689885,0.10213255,0.8890859,IS
TOI-2977 b,TOI-2977,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.07180544,0.92819273,4.328172e-08,1.7777053e-06,PC
TOI-3023 b,TOI-3023,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.25551844,0.7444792,4.779021e-08,2.334466e-06,PC
TOI-3082 b,TOI-3082,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.075642064,0.9243376,9.337877e-07,1.936316e-05,PC
TOI-3235 b,TOI-3235,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.003013129,0.87212324,0.00014841837,0.1247152,PC
TOI-332 b,TOI-332,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.015821872,0.9841739,4.6017817e-08,4.1330636e-06,PC
TOI-3331 A b,TOI-3331 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,8.2117285e-06,0.009707104,0.0017366176,0.98854804,IS
TOI-3362 b,TOI-3362,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.049842842,0.9501486,8.370493e-08,8.5319e-06,PC
TOI-3364 b,TOI-3364,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3597783,0.64021796,4.40345e-08,3.689709e-06,PC
TOI-3540 A b,TOI-3540 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.00037512928,0.8929957,4.7835914e-05,0.106581345,PC
TOI-3629 b,TOI-3629,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,3.673213e-05,0.1987524,0.0005017626,0.80070907,IS
