planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
AU Mic b,AU Mic,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.4792574,0.5174555,0.0011262868,0.0021608083,PC
DS Tuc A b,DS Tuc A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.66248757,0.3228103,1.0987214e-05,0.014691201,EB
GJ 1252 b,GJ 1252,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06694732,0.9330487,1.153117e-07,3.892596e-06,PC
GJ 143 b,GJ 143,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8325844,0.16736224,6.203929e-08,5.3345997e-05,EB
GJ 357 b,GJ 357,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10039999,0.8995996,4.9920534e-09,3.7534838e-07,PC
HD 108236 b,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 108236 c,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 108236 d,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 108236 e,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 109833 b,HD 109833,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.88201255,0.117909566,6.135967e-05,1.6588192e-05,EB
HD 109833 c,HD 109833,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.88201255,0.117909566,6.135967e-05,1.6588192e-05,EB
HD 110082 b,HD 110082,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.22370936,0.76837885,4.340943e-05,0.0078683365,PC
HD 110113 b,HD 110113,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.060094915,0.93990237,8.3717936e-08,2.614926e-06,PC
HD 1397 b,HD 1397,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0028271214,0.25848442,0.048263848,0.6904246,IS
HD 152843 b,HD 152843,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.101453684,0.8985387,5.1119045e-08,7.5086336e-06,PC
HD 152843 c,HD 152843,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.101453684,0.8985387,5.1119045e-08,7.5086336e-06,PC
HD 15337 b,HD 15337,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11012163,0.88987684,3.6625813e-08,1.5346435e-06,PC
HD 15337 c,HD 15337,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11012163,0.88987684,3.6625813e-08,1.5346435e-06,PC
HD 15906 b,HD 15906,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16425018,0.8357449,2.8943063e-07,4.639802e-06,PC
HD 15906 c,HD 15906,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16425018,0.8357449,2.8943063e-07,4.639802e-06,PC
HD 183579 b,HD 183579,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24702904,0.75295603,8.660818e-07,1.4042159e-05,PC
HD 18599 b,HD 18599,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.518161,0.47835362,0.0022044973,0.0012809053,EB
HD 191939 b,HD 191939,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042274117,0.95772547,3.4838876e-09,4.5570172e-07,PC
HD 191939 c,HD 191939,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042274117,0.95772547,3.4838876e-09,4.5570172e-07,PC
HD 191939 d,HD 191939,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042274117,0.95772547,3.4838876e-09,4.5570172e-07,PC
HD 202772 A b,HD 202772 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.7774167,0.22257967,1.0977126e-07,3.5168277e-06,EB
HD 20329 b,HD 20329,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.17957096,0.8203499,3.7863607e-05,4.138722e-05,PC
HD 207496 b,HD 207496,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.75660616,0.234725,0.006538489,0.0021304067,EB
HD 213885 b,HD 213885,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.1520123,0.84798306,1.8534274e-07,4.511829e-06,PC
HD 21749 c,GJ 143,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8325844,0.16736224,6.203929e-08,5.3345997e-05,EB
HD 219666 b,HD 219666,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06168795,0.9383116,4.8066053e-09,4.2650578e-07,PC
HD 221416 b,HD 221416,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06358375,0.93641335,5.0204033e-08,2.8412387e-06,PC
HD 22946 d,HD 22946,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03915914,0.96083826,6.1486276e-08,2.5262136e-06,PC
HD 23472 b,HD 23472,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06800073,0.9319957,2.4628545e-08,3.564244e-06,PC
HD 23472 c,HD 23472,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06800073,0.9319957,2.4628545e-08,3.564244e-06,PC
HD 23472 d,HD 23472,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06800073,0.9319957,2.4628545e-08,3.564244e-06,PC
HD 23472 e,HD 23472,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06800073,0.9319957,2.4628545e-08,3.564244e-06,PC
HD 23472 f,HD 23472,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06800073,0.9319957,2.4628545e-08,3.564244e-06,PC
HD 235088 b,HD 235088,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.015642628,0.9843465,2.3960484e-07,1.05963845e-05,PC
HD 2685 b,HD 2685,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.70366997,0.29632434,1.153948e-07,5.620371e-06,EB
HD 28109 b,HD 28109,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042015735,0.95797217,2.9791178e-07,1.1813383e-05,PC
HD 28109 c,HD 28109,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042015735,0.95797217,2.9791178e-07,1.1813383e-05,PC
HD 28109 d,HD 28109,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042015735,0.95797217,2.9791178e-07,1.1813383e-05,PC
HD 332231 b,HD 332231,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8784411,0.12152973,1.9859193e-07,2.8980978e-05,EB
HD 5278 b,HD 5278,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.049896482,0.9501026,1.1926777e-08,9.155127e-07,PC
HD 56414 b,HD 56414,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.020575836,0.9794226,2.8892439e-08,1.5244701e-06,PC
HD 63433 b,HD 63433,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3749904,0.5712657,6.891508e-05,0.053675,PC
HD 63433 c,HD 63433,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3749904,0.5712657,6.891508e-05,0.053675,PC
HD 63433 d,HD 63433,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3749904,0.5712657,6.891508e-05,0.053675,PC
HD 63935 b,HD 63935,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.087073,0.9129205,7.638978e-08,6.4133756e-06,PC
HD 73583 b,HD 73583,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.47504508,0.52493566,1.2671541e-06,1.8025623e-05,PC
HD 73583 c,HD 73583,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.47504508,0.52493566,1.2671541e-06,1.8025623e-05,PC
HD 86226 c,HD 86226,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.087915264,0.91208154,7.241383e-08,3.1589345e-06,PC
HD 93963 A b,HD 93963 A,2,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03948444,0.9605114,9.9765074e-08,4.0208565e-06,PC
HD 93963 A c,HD 93963 A,2,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03948444,0.9605114,9.9765074e-08,4.0208565e-06,PC
HIP 113103 b,HIP 113103,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,5.076115e-07,3.256574e-05,0.30761817,0.6923488,IS
HIP 113103 c,HIP 113103,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,5.076115e-07,3.256574e-05,0.30761817,0.6923488,IS
HIP 29442 b,HIP 29442,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.09302626,0.9069716,2.6034142e-08,2.10378e-06,PC
HIP 65 A b,HIP 65 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.65053695,0.34946203,1.7810028e-07,8.279656e-07,EB
HIP 67522 b,HIP 67522,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9943089,0.005651775,2.9084022e-05,1.0302544e-05,EB
HIP 94235 b,HIP 94235,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.056631334,0.9101111,0.02806955,0.0051880064,PC
HIP 9618 b,HIP 9618,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13816334,0.8618348,1.6571569e-08,1.8105992e-06,PC
HIP 9618 c,HIP 9618,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13816334,0.8618348,1.6571569e-08,1.8105992e-06,PC
HIP 97166 b,HIP 97166,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.08235561,0.9176434,1.6662518e-08,9.581025e-07,PC
HR 858 b,HR 858,2,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10928966,0.890704,1.5480163e-07,6.2241393e-06,PC
HR 858 c,HR 858,2,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10928966,0.890704,1.5480163e-07,6.2241393e-06,PC
HR 858 d,HR 858,2,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10928966,0.890704,1.5480163e-07,6.2241393e-06,PC
L 168-9 b,L 168-9,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.12575163,0.8742472,7.0723125e-08,1.1791112e-06,PC
L 98-59 b,L 98-59,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24727082,0.752728,6.1446435e-08,1.1111948e-06,PC
L 98-59 c,L 98-59,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24727082,0.752728,6.1446435e-08,1.1111948e-06,PC
L 98-59 d,L 98-59,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24727082,0.752728,6.1446435e-08,1.1111948e-06,PC
LHS 1815 b,LHS 1815,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.04079744,0.9591974,1.5896345e-07,4.94501e-06,PC
LHS 3844 b,LHS 3844,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9142889,0.085582264,3.0801813e-05,9.806006e-05,EB
LP 714-47 b,LP 714-47,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.5648657,0.4351326,1.0170945e-08,1.7485266e-06,EB
LP 791-18 b,LP 791-18,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11583047,0.8841688,1.6187519e-08,6.906122e-07,PC
LP 791-18 c,LP 791-18,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11583047,0.8841688,1.6187519e-08,6.906122e-07,PC
LTT 1445 A b,LTT 1445 A,3,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24289067,0.7570352,9.105828e-07,7.3196556e-05,PC
LTT 9779 b,LTT 9779,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2872698,0.712728,2.0373449e-07,1.9825563e-06,PC
NGTS-11 b,NGTS-11,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,5.5817463e-06,0.0033020505,0.011135927,0.9855564,IS
NGTS-20 b,NGTS-20,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,1.736515e-07,0.0023906776,0.00021681748,0.9973923,IS
TIC 172900988 b,TIC 172900988 Aa,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9996581,0.0002834565,6.622113e-06,5.1788225e-05,EB
TIC 237913194 b,TIC 237913194,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.100455314,0.89954394,6.094575e-09,6.99975e-07,PC
TIC 257060897 b,TIC 257060897,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.7664044,0.23359162,2.3984808e-07,3.7733778e-06,EB
TIC 279401253 b,TIC 279401253,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,1.6224381e-05,0.008019826,0.0118927825,0.98007125,IS
TOI-1052 b,TOI-1052,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.103479184,0.896517,1.4533269e-07,3.7180894e-06,PC
TOI-1062 b,TOI-1062,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03560667,0.9643645,1.3166122e-06,2.7421811e-05,PC
TOI-1064 b,TOI-1064,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06650895,0.9334879,1.3645219e-07,2.997231e-06,PC
TOI-1064 c,TOI-1064,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06650895,0.9334879,1.3645219e-07,2.997231e-06,PC
TOI-1075 b,TOI-1075,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.177714,0.8222672,9.335687e-07,1.7867142e-05,PC
TOI-1107 b,TOI-1107,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8417172,0.1582775,4.4821414e-07,4.858491e-06,EB
TOI-1130 b,TOI-1130,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.54781914,0.45178148,2.9825932e-07,0.0003990776,EB
TOI-1130 c,TOI-1130,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.54781914,0.45178148,2.9825932e-07,0.0003990776,EB
TOI-1136 b,TOI-1136,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6129974,0.38674158,0.00017123228,8.9705485e-05,EB
TOI-1136 c,TOI-1136,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6129974,0.38674158,0.00017123228,8.9705485e-05,EB
TOI-1136 d,TOI-1136,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6129974,0.38674158,0.00017123228,8.9705485e-05,EB
TOI-1136 e,TOI-1136,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6129974,0.38674158,0.00017123228,8.9705485e-05,EB
TOI-1136 f,TOI-1136,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6129974,0.38674158,0.00017123228,8.9705485e-05,EB
TOI-1136 g,TOI-1136,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6129974,0.38674158,0.00017123228,8.9705485e-05,EB
TOI-1181 b,TOI-1181,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9383833,0.061606415,2.5083689e-06,7.820922e-06,EB
TOI-1194 b,TOI-1194,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8880648,0.111929476,3.6542508e-07,5.305074e-06,EB
TOI-1201 b,TOI-1201,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03147203,0.96852344,5.3449835e-08,4.4488042e-06,PC
TOI-122 b,TOI-122,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.07069937,0.9292921,4.799652e-07,8.100718e-06,PC
TOI-1221 b,TOI-1221,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.019496713,0.9804936,7.2793375e-07,8.920699e-06,PC
TOI-1227 b,TOI-1227,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.19454056,0.80516136,9.155355e-05,0.00020657566,PC
TOI-1235 b,TOI-1235,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06545854,0.93452847,3.63577e-07,1.2608591e-05,PC
TOI-1246 b,TOI-1246,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10262611,0.89737225,6.915179e-08,1.5553464e-06,PC
TOI-1246 c,TOI-1246,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10262611,0.89737225,6.915179e-08,1.5553464e-06,PC
TOI-1246 d,TOI-1246,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10262611,0.89737225,6.915179e-08,1.5553464e-06,PC
TOI-1246 e,TOI-1246,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10262611,0.89737225,6.915179e-08,1.5553464e-06,PC
TOI-125 b,TOI-125,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.057345588,0.94264686,4.2642955e-07,7.1208915e-06,PC
TOI-125 c,TOI-125,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.057345588,0.94264686,4.2642955e-07,7.1208915e-06,PC
TOI-125 d,TOI-125,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.057345588,0.94264686,4.2642955e-07,7.1208915e-06,PC
TOI-1259 A b,TOI-1259 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.69717336,0.30276063,1.2084948e-07,6.5958964e-05,EB
TOI-1260 b,TOI-1260,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.02363082,0.9763614,1.5507543e-07,7.6210245e-06,PC
TOI-1260 c,TOI-1260,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.02363082,0.9763614,1.5507543e-07,7.6210245e-06,PC
TOI-1260 d,TOI-1260,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.02363082,0.9763614,1.5507543e-07,7.6210245e-06,PC
TOI-1266 b,TOI-1266,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.122044094,0.8779506,1.4445808e-07,5.1782013e-06,PC
TOI-1266 c,TOI-1266,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.122044094,0.8779506,1.4445808e-07,5.1782013e-06,PC
TOI-1268 b,TOI-1268,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.12738355,0.87260395,3.6548094e-08,1.2400526e-05,PC
TOI-1272 b,TOI-1272,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.09752128,0.90247595,1.9409899e-07,2.560093e-06,PC
TOI-1278 b,TOI-1278,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.12052957,0.8794675,4.3745153e-08,2.9099374e-06,PC
TOI-1288 b,TOI-1288,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16677226,0.83322537,1.3869416e-07,2.2270062e-06,PC
TOI-1296 b,TOI-1296,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.7844429,0.21554863,1.0880601e-06,7.359701e-06,EB
TOI-1298 b,TOI-1298,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.42341876,0.5765685,7.1361393e-07,1.2097027e-05,PC
TOI-132 b,TOI-132,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0699716,0.9299979,1.1601006e-06,2.9309174e-05,PC
TOI-1333 b,TOI-1333,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.028926656,0.15059467,0.25707036,0.5634083,IS
TOI-1338 b,TOI-1338 A,2,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8800747,0.11978476,9.1137764e-08,0.00014050923,EB
TOI-139 b,TOI-139,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.17108,0.8289153,1.4604943e-07,4.5610473e-06,PC
TOI-1408 b,TOI-1408,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3197815,0.6802165,2.5195565e-08,1.9375198e-06,PC
TOI-1416 b,TOI-1416,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.035882093,0.964116,9.4461406e-08,1.8329758e-06,PC
TOI-1420 b,TOI-1420,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3784949,0.62149626,1.15470236e-07,8.69951e-06,PC
TOI-1422 b,TOI-1422,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.05496051,0.9450367,5.7282993e-08,2.733873e-06,PC
TOI-1431 b,TOI-1431,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9821962,0.017800938,2.6498677e-07,2.5958666e-06,EB
TOI-1444 b,TOI-1444,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.012798927,0.9871991,3.5408963e-08,1.9958652e-06,PC
TOI-1452 b,TOI-1452,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.4719668,0.527585,2.5261446e-05,0.00042291955,PC
TOI-1468 b,TOI-1468,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.37899965,0.6209988,6.775258e-08,1.5008626e-06,PC
TOI-1468 c,TOI-1468,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.37899965,0.6209988,6.775258e-08,1.5008626e-06,PC
TOI-1470 b,TOI-1470,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.074409336,0.9255748,8.621308e-07,1.5067817e-05,PC
TOI-1470 c,TOI-1470,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.074409336,0.9255748,8.621308e-07,1.5067817e-05,PC
TOI-1478 b,TOI-1478,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.61908096,0.38090035,6.382774e-08,1.8616884e-05,EB
TOI-150.01,TOI-150,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.5215227,0.47847298,1.5407242e-07,4.2237557e-06,EB
TOI-1516 b,TOI-1516,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.20203911,0.7979442,4.0827e-07,1.623071e-05,PC
TOI-157 b,TOI-157,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.176037,0.8239605,5.9481383e-08,2.4968876e-06,PC
TOI-163 b,TOI-163,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16379559,0.8361996,2.6608802e-08,4.7557164e-06,PC
TOI-1634 b,TOI-1634,2,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,1.2310629e-07,0.0004856444,0.00030398474,0.99921024,IS
TOI-1670 b,TOI-1670,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03176309,0.96822274,8.723278e-07,1.3326532e-05,PC
TOI-1670 c,TOI-1670,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03176309,0.96822274,8.723278e-07,1.3326532e-05,PC
TOI-1680 b,TOI-1680,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.026137484,0.9738609,1.6300453e-08,1.6474975e-06,PC
TOI-1685 b,TOI-1685,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042375132,0.95760554,5.3101957e-07,1.892093e-05,PC
TOI-169 b,TOI-169,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.21139717,0.7886016,3.338615e-08,1.2352759e-06,PC
TOI-1693 b,TOI-1693,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.030982083,0.9690167,3.0859724e-08,1.2874212e-06,PC
TOI-1694 b,TOI-1694,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16667195,0.8333276,9.870841e-09,5.2923514e-07,PC
TOI-1695 b,TOI-1695,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03823712,0.9617604,1.9248791e-08,2.4869057e-06,PC
TOI-1696 b,TOI-1696,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.04644194,0.95353436,9.611779e-07,2.2689585e-05,PC
TOI-1710 b,TOI-1710,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.772123,0.22786547,3.1576963e-07,1.12814705e-05,EB
TOI-172 b,TOI-172,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.011937448,0.9880498,6.3106125e-09,1.2656905e-05,PC
TOI-1728 b,TOI-1728,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.061988447,0.9380109,8.725528e-09,6.901599e-07,PC
TOI-1736 b,TOI-1736,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.015516496,0.984479,3.9546514e-08,4.408826e-06,PC
TOI-1749 b,TOI-1749,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.028465858,0.97152936,1.3539491e-07,4.6475966e-06,PC
TOI-1749 c,TOI-1749,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.028465858,0.97152936,1.3539491e-07,4.6475966e-06,PC
TOI-1749 d,TOI-1749,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.028465858,0.97152936,1.3539491e-07,4.6475966e-06,PC
TOI-1759 b,TOI-1759,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.047482494,0.9525084,7.120651e-08,8.981479e-06,PC
TOI-178 b,TOI-178,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10685902,0.89313865,9.6414155e-08,2.2620777e-06,PC
TOI-178 c,TOI-178,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10685902,0.89313865,9.6414155e-08,2.2620777e-06,PC
TOI-178 d,TOI-178,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10685902,0.89313865,9.6414155e-08,2.2620777e-06,PC
TOI-178 e,TOI-178,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10685902,0.89313865,9.6414155e-08,2.2620777e-06,PC
TOI-178 g,TOI-178,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10685902,0.89313865,9.6414155e-08,2.2620777e-06,PC
TOI-1789 b,TOI-1789,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.040564556,0.95943433,8.997248e-09,1.1726424e-06,PC
TOI-1801 b,TOI-1801,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.014844271,0.9851538,2.386607e-08,2.0281855e-06,PC
TOI-1807 b,TOI-1807,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.55325526,0.44567344,3.2236025e-05,0.001039105,EB
TOI-181 b,TOI-181,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.49498928,0.505003,6.1445476e-08,7.680817e-06,PC
TOI-1811 b,TOI-1811,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.087424144,0.91256744,8.046851e-09,8.424817e-06,PC
TOI-1820 b,TOI-1820,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,3.849153e-06,0.0012399947,0.02017322,0.978583,IS
