TIC,disc_facility,discoverymethod,number_of_stars,number_of_planets,type,subtype,label,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
LP 791-18 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.11583043,0.88416886,1.6187553e-08,6.9061224e-07,PC
LP 791-18 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.11583043,0.88416886,1.6187553e-08,6.9061224e-07,PC
LTT 1445 A b,Transiting Exoplanet Survey Satellite (TESS),Transit,3,2,PC,multiple,1.0,0.24289063,0.75703526,9.1058195e-07,7.3196425e-05,PC
TIC 279401253 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,1.622441e-05,0.008019834,0.011892787,0.9800711,IS
TOI-1052 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.103479266,0.89651686,1.4533268e-07,3.7180926e-06,PC
TOI-1062 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.035606712,0.9643645,1.3166135e-06,2.7421836e-05,PC
TOI-1064 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.06650888,0.933488,1.3645233e-07,2.9972284e-06,PC
TOI-1064 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.06650888,0.933488,1.3645233e-07,2.9972284e-06,PC
TOI-1130 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.547819,0.45178157,2.9825927e-07,0.00039907751,EB
TOI-1130 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.547819,0.45178157,2.9825927e-07,0.00039907751,EB
TOI-1136 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.61299735,0.38674176,0.00017123226,8.970548e-05,EB
TOI-1136 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.61299735,0.38674176,0.00017123226,8.970548e-05,EB
